name,category
#ご飯
ご飯,gohan
ごはん,gohan
ライス,gohan
白米,gohan
玄米,gohan
丼,gohan
おにぎり,gohan

#味噌汁
味噌汁,misoshiru

#海藻
わかめ,kaiso
昆布,kaiso
あおさ,kaiso
もずく,kaiso
めかぶ,kaiso
海苔,kaiso
青のり,kaiso
磯辺,kaiso
ひじき,kaiso

#卵
卵,tamago
目玉焼き,tamago
親子丼,tamago
たまご,tamago
タマゴ,tamago
エッグ,tamago
玉子,tamago
うずら,tamago
オムレツ,tamago
オムライス,tamago

#豆類
豆腐,mame
納豆,mame
油揚げ,mame
厚揚げ,mame
がんも,mame
えんどう,mame
おから,mame
大豆,mame
グリーンピース,mame
白和え,mame
ピーナッツ,mame
アーモンド,mame
卯の花,mame
豆乳,mame
くるみ,mame

#魚介
鮭,gyokai
鰆,gyokai
アジ,gyokai
まぐろ,gyokai
マグロ,gyokai
鮪,gyokai
鯛,gyokai
たら,gyokai
タラ,gyokai
鱈,gyokai
かつお節,gyokai
イカ,gyokai
タコ,gyokai
あさり,gyokai
しじみ,gyokai
ほたて,gyokai
ホタテ,gyokai
シーチキン,gyokai
ツナ,gyokai
しりしり,gyokai
かまぼこ,gyokai
ちくわ,gyokai
さつま揚げ,gyokai
はんぺん,gyokai
じゃこ,gyokai
しらす,gyokai
シラス,gyokai
カニカマ,gyokai
いか,gyokai
たこ,gyokai
えび,gyokai
エビ,gyokai
カレイ,gyokai
かれい,gyokai
赤魚,gyokai
たらこ,gyokai
明太子,gyokai
ししゃも,gyokai
サンマ,gyokai
ブリ,gyokai
カジキ,gyokai
サバ,gyokai
鯖,gyokai


#きのこ類
しめじ,kinoko
エリンギ,kinoko
えのき,kinoko
しいたけ,kinoko
なめこ,kinoko
椎茸,kinoko
舞茸,kinoko
まいたけ,kinoko
マッシュルーム,kinoko

#野菜
キャベツ,yasai
もやし,yasai
レタス,yasai
白菜,yasai
大根,yasai
蕪,yasai
おろし,yasai
サラダ菜,yasai
小松菜,yasai
チンゲン,yasai
ちんげん菜,yasai
ほうれん草,yasai
モロヘイヤ,yasai
ゴーヤ,yasai
春菊,yasai
空芯菜,yasai
きゅうり,yasai
ズッキーニ,yasai
ししとう,yasai
ピーマン,yasai
オクラ,yasai
アスパラ,yasai
ブロッコリー,yasai
カリフラワー,yasai
セロリ,yasai
ねぎ,yasai
ネギ,yasai
にら,yasai
ニラ,yasai
みつば,yasai
パセリ,yasai
大葉,yasai
人参,yasai
ミニトマト,yasai
トマト,yasai
パプリカ,yasai
なす,yasai
ナス,yasai
かぼちゃ,yasai
とうもろこし,yasai
コーン,yasai
たけのこ,yasai
タケノコ,yasai
筍,yasai
玉ねぎ,yasai
いんげん,yasai
そら豆,yasai
枝豆,yasai
絹さや,yasai
ごぼう,yasai
れんこん,yasai
レンコン,yasai
